4.00,137.39,2852.08,35.00,831.21
5.00,128.25,3171.96,25.00,716.70
5.00,126.63,3132.57,27.00,566.60
5.00,109.10,2741.39,21.00,316.95
5.00,145.05,3083.21,32.00,629.61
4.00,108.15,2608.33,14.00,739.96
4.00,123.42,2822.68,41.00,699.20
3.00,85.39,1990.23,59.00,921.23
5.00,111.96,2573.97,19.00,521.98
5.00,157.68,3605.43,48.00,1111.38
4.00,122.16,2572.38,62.00,972.60
2.00,106.36,1272.74,45.00,789.18
1.00,64.24,515.10,13.00,370.54
4.00,81.21,2511.07,48.00,855.03
2.00,98.67,1492.85,32.00,675.75
1.00,67.88,500.00,39.00,681.32
4.00,118.25,2267.06,35.00,586.73
1.00,42.29,608.57,5.00,378.85
5.00,137.70,3600.47,57.00,848.46
2.00,101.41,2144.66,38.00,678.59
3.00,105.92,2165.06,16.00,440.76
3.00,116.50,2974.25,26.00,755.65
4.00,104.09,2142.46,23.00,680.71
5.00,140.34,2913.88,27.00,581.74
1.00,85.98,1504.75,33.00,558.09
5.00,124.25,1948.20,45.00,982.92
5.00,139.15,3349.26,29.00,539.53
2.00,101.05,1762.44,30.00,798.60
2.00,70.68,1733.81,24.00,471.78
1.00,89.85,1260.01,48.00,911.20
5.00,151.90,3605.93,28.00,703.37
5.00,137.41,3066.57,63.00,1280.08
5.00,113.39,3100.04,46.00,947.08
1.00,34.78,721.24,13.00,367.72
4.00,98.04,1805.23,37.00,926.30
5.00,167.01,3798.49,21.00,674.00
5.00,124.41,3003.26,43.00,849.45
2.00,93.63,1987.50,8.00,469.71
4.00,138.25,2917.09,15.00,534.10
2.00,86.08,987.93,40.00,606.77
5.00,131.28,3757.32,50.00,897.54
5.00,157.32,3792.48,49.00,1005.98
4.00,115.61,2276.95,43.00,946.23
2.00,78.44,1370.80,40.00,824.51
4.00,98.92,2223.00,54.00,889.61
1.00,81.13,1634.14,52.00,789.83
5.00,139.50,4303.69,18.00,651.95
5.00,160.96,3360.94,29.00,549.93
1.00,62.91,786.98,30.00,591.03
2.00,75.04,1448.48,26.00,677.45
2.00,73.05,1001.17,56.00,840.56
2.00,94.86,1409.90,7.00,316.40
3.00,100.40,1944.37,37.00,837.07
1.00,86.85,1147.37,26.00,548.93
3.00,112.31,2267.35,54.00,768.25
